"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"ASTAR_COMET_CRC_1","CD68",0.44561434712854,FALSE,2,2
"ASTAR_COMET_CRC_1","CD31",0.378409561772357,FALSE,1,1
"ASTAR_COMET_CRC_1","CD11c",0.313998477311605,FALSE,2,2
"ASTAR_COMET_CRC_1","CD138",0.257137178359236,FALSE,1,1
"ASTAR_COMET_CRC_1","aSMA",0.363083179819702,FALSE,1,1
"ASTAR_COMET_CRC_1","CD45RA",0.300519791732071,FALSE,3,3
"ASTAR_COMET_CRC_1","GZMB",0.224332046428001,FALSE,3,3
"ASTAR_COMET_CRC_1","CD3",0.153463184762615,FALSE,2,2
"ASTAR_COMET_CRC_1","CD8",0.218215075356214,FALSE,1,1
"ASTAR_COMET_CRC_1","CD20",0.119671856635315,FALSE,1,1
"ASTAR_COMET_CRC_1","HLADR",0.204935218711348,FALSE,2,2
"ASTAR_COMET_CRC_1","CD4",0.320575217727877,FALSE,3,3
"ASTAR_COMET_CRC_1","CK",0.232034783103375,FALSE,2,2
"ASTAR_COMET_CRC_1","CD11b",0.237062842143076,FALSE,2,2
"ASTAR_COMET_CRC_1","Ecadherin",0.274316910440317,FALSE,2,2
"ASTAR_COMET_CRC_2","CD68",0.390283242575326,FALSE,1,1
"ASTAR_COMET_CRC_2","CD31",0.50464749007293,FALSE,2,2
"ASTAR_COMET_CRC_2","CD11c",0.309813983260797,FALSE,1,1
"ASTAR_COMET_CRC_2","CD138",0.362664833211794,FALSE,3,3
"ASTAR_COMET_CRC_2","aSMA",0.463228041260601,FALSE,2,2
"ASTAR_COMET_CRC_2","CD45RA",0.234197677433517,FALSE,2,2
"ASTAR_COMET_CRC_2","GZMB",0.208706826405071,FALSE,2,2
"ASTAR_COMET_CRC_2","CD3",0.201969953245815,FALSE,3,3
"ASTAR_COMET_CRC_2","CD8",0.343555193853304,FALSE,3,3
"ASTAR_COMET_CRC_2","CD20",0.158643562208594,FALSE,3,3
"ASTAR_COMET_CRC_2","HLADR",0.2257341119871,FALSE,4,4
"ASTAR_COMET_CRC_2","CD4",0.334889700797299,FALSE,4,4
"ASTAR_COMET_CRC_2","CK",0.267869195585196,FALSE,3,3
"ASTAR_COMET_CRC_2","CD11b",0.241371492795522,FALSE,3,3
"ASTAR_COMET_CRC_2","Ecadherin",0.304889547847086,FALSE,4,4
"ASTAR_COMET_CRC_24","CD68",0.748389956176401,FALSE,4,4
"ASTAR_COMET_CRC_24","CD31",0.712174944256655,FALSE,4,4
"ASTAR_COMET_CRC_24","CD11c",0.332661182109541,FALSE,3,3
"ASTAR_COMET_CRC_24","CD138",0.415576480751227,FALSE,4,4
"ASTAR_COMET_CRC_24","aSMA",0.592792930643474,FALSE,4,4
"ASTAR_COMET_CRC_24","CD45RA",0.179669496846598,FALSE,1,1
"ASTAR_COMET_CRC_24","GZMB",0.180874326167447,FALSE,1,1
"ASTAR_COMET_CRC_24","CD3",0.138608996785759,FALSE,1,1
"ASTAR_COMET_CRC_24","CD8",0.257903720690129,FALSE,2,2
"ASTAR_COMET_CRC_24","CD20",0.125559352720601,FALSE,2,2
"ASTAR_COMET_CRC_24","HLADR",0.165002927566839,FALSE,1,1
"ASTAR_COMET_CRC_24","CD4",0.283974588653262,FALSE,1,1
"ASTAR_COMET_CRC_24","CK",0.200998438872097,FALSE,1,1
"ASTAR_COMET_CRC_24","CD11b",0.172812819221714,FALSE,1,1
"ASTAR_COMET_CRC_24","Ecadherin",0.22729405049016,FALSE,1,1
"ASTAR_COMET_CRC_3","CD68",0.742344614315933,FALSE,3,3
"ASTAR_COMET_CRC_3","CD31",0.638884020287236,FALSE,3,3
"ASTAR_COMET_CRC_3","CD11c",0.447270172726852,FALSE,4,4
"ASTAR_COMET_CRC_3","CD138",0.30782646368623,FALSE,2,2
"ASTAR_COMET_CRC_3","aSMA",0.541247267372459,FALSE,3,3
"ASTAR_COMET_CRC_3","CD45RA",0.365686446470748,FALSE,4,4
"ASTAR_COMET_CRC_3","GZMB",0.278122029134445,FALSE,4,4
"ASTAR_COMET_CRC_3","CD3",0.205208896006602,FALSE,4,4
"ASTAR_COMET_CRC_3","CD8",0.375880158970602,FALSE,4,4
"ASTAR_COMET_CRC_3","CD20",0.176622174211313,FALSE,4,4
"ASTAR_COMET_CRC_3","HLADR",0.205779854803636,FALSE,3,3
"ASTAR_COMET_CRC_3","CD4",0.292099217925235,FALSE,2,2
"ASTAR_COMET_CRC_3","CK",0.272549324795167,FALSE,4,4
"ASTAR_COMET_CRC_3","CD11b",0.275428642835822,FALSE,4,4
"ASTAR_COMET_CRC_3","Ecadherin",0.300170802206744,FALSE,3,3
